Date RSI14 RSI7 MACD STOCH5 STOCH14 PPO TREND10 TREND20 QUADTREND10 INTENSITY ADX14 AROONUP14 AROONDOWN14 AROON_DIFF CLOSE_MA_DIFF LIN_DEV QUAD_DEV PRICE_OSC VAR_RATIO MONEYFLOW
20111202   55.78121   63.74797    1.33879   75.94280   60.93923    1.41223    6.66439   -2.65672    8.54883  -14.66570   14.12524    7.14286   64.28571  -57.14286   22.68360   10.76594  -30.01620   -1.91176   47.07509  -12.77118
20111205   58.41281   68.49011    2.48076   79.73464   71.04510    2.73152   29.61189   -0.99931    1.64435  -16.66979   14.42246    0.00000   57.14286  -57.14286   20.41136    4.63265  -19.32777  -20.94289   43.38253  -11.75025
20111206   58.49103   68.63086    3.12119   82.21858   77.90374    3.43078   36.76981   -0.12571    0.00032  -13.13558   14.69846   92.85714   50.00000   42.85714   13.14729  -14.24061  -15.73212  -21.45569  -27.81482  -16.35100
20111207   59.45628   70.44147    3.59421   81.90297   83.67182    3.87324   37.51125    0.00601   -0.99427   -3.81168   14.57819  100.00000   42.85714   57.14286    8.15200  -25.71940    0.52191  -44.41105  -20.39869   -8.53029
20111208   51.78532   50.37585    2.57658   57.37203   79.13866    2.79986   20.91296    0.01951   -6.72292  -14.41248   13.86721   92.85714   35.71429   57.14286  -12.37812  -36.05929  -16.93297  -33.50335   -0.18222   -6.54437
20111209   56.36517   60.33386    2.59070   60.40899   82.44577    2.82055    9.59371    0.21613   -4.25429   -0.38381   13.28453   85.71429   28.57143   57.14286    2.99753  -14.30447   24.43459  -20.94267   -3.33080    3.76531
20111212   51.72875   50.06436    1.74545   48.80927   79.10497    1.91401    1.53252    0.94495   -6.15512   -4.99948   12.48687   78.57143   21.42857   57.14286  -10.73118  -25.02424    5.55520  -15.92476    9.15471    2.38923
20111213   48.99274   44.49421    0.64427   36.69760   73.38175    0.74579   -0.53134    1.54003   -3.16182  -14.41755   12.05144   71.42857   14.28571   57.14286  -15.40195  -29.79743   -7.57586   -3.69221   24.82199   -1.07664
20111214   46.03165   38.80563   -0.52826   26.30178   65.61810   -0.59260   -4.29744    2.62646   -3.93512  -20.57986   12.05463   64.28571    7.14286   57.14286  -19.67231  -29.00023   -0.87809    5.90236   29.40502  -21.75637
20111215   47.18617   41.72493   -1.11147   22.36423   57.01554   -1.24918  -11.12195    3.65474   -1.34673  -26.13203   11.96747   57.14286    0.00000   57.14286  -10.95378   -5.63444   23.26282  -14.55963   36.23322  -26.85411
