Date,RSI14,RSI7,MACD,STOCH5,STOCH14,PPO,TREND10,TREND20,QUADTREND10,INTENSITY,ADX14,AROONUP14,AROONDOWN14,AROON_DIFF,CLOSE_MA_DIFF,LIN_DEV,QUAD_DEV,PRICE_OSC,VAR_RATIO,MONEYFLOW,Open,High,Low,Close,Volume,dix,gex,target,return
20120113,61.67142,65.00325,2.19851,77.86792,90.40297,1.42789,15.70341,29.37311,-0.56304,7.00969,14.48834,92.85714,0.0,92.85714,1.30972,-30.17998,-13.51467,-38.83818,-31.27206,17.30745,101.34881852625304,101.67183925808898,100.6239994349026,101.50638580322266,179836200,0.457141218,2244354575.0,1,0.003880749918543591
20120117,63.20259,68.83131,1.95098,72.68105,87.75815,1.1473,9.65001,24.88466,-0.01569,-3.40588,15.21691,100.0,14.28571,85.71429,4.09425,-12.47329,-3.96754,-37.04422,-46.0957,20.09172,102.48331883131368,102.67240677051238,101.55365149060198,101.90030670166016,132209200,0.422817493,2487898292.0,1,0.01105629959606258
20120118,67.23426,77.16554,2.11223,81.03959,91.45692,1.37628,10.60844,23.55469,0.01133,12.23397,16.14638,100.0,7.14286,92.85714,15.50133,32.02346,26.9813,-34.7167,-21.99404,43.57072,101.87668297433176,103.08209016273506,101.6954811936316,103.02694702148438,163395200,0.437660603,2789240579.0,1,0.005276308824649023
20120119,68.99916,80.1529,2.88191,86.40734,93.75816,1.62,16.57135,22.99725,0.15529,15.28283,17.3497,100.0,0.0,100.0,19.71928,28.63135,15.98108,-30.31416,0.23441,42.75698,103.38146108012442,103.65721281028594,103.05056621689764,103.57054901123048,126328900,0.441143201,3020604554.0,1,0.003727311842721459
20120124,67.29103,73.30376,2.7328,83.41983,91.1821,1.18726,19.84228,26.62567,0.00508,27.56785,20.83004,92.85714,14.28571,78.57143,5.28815,-20.41255,-24.51062,-30.83943,-40.64679,48.20831,103.05056621689764,103.60205765560896,102.8929989517818,103.57054901123048,103083300,0.427808634,1326643587.0,1,0.008367612143291403
20120125,70.43386,79.64121,2.47332,84.39447,92.51686,1.202,17.84078,27.33458,-0.00014,31.64653,22.26264,100.0,7.14286,92.85714,12.73293,3.45717,5.17604,-33.5689,-39.5985,59.36389,103.41298181936575,104.68141828756004,103.0111834430855,104.43718719482422,198613200,0.416994023,2073559882.0,0,-0.005129452264995615
20120127,65.82327,66.991,1.22211,62.19133,82.35342,0.36773,10.32829,22.16991,-2.18853,24.72743,25.02734,92.85714,0.0,92.85714,-0.82723,-27.05012,7.58699,-35.30082,-41.73621,44.29967,103.3972258786252,104.03538114395256,103.32631038789042,103.85417938232422,135259100,0.431315853,1579086753.0,0,-0.0034136585276265397
20120131,62.60717,58.42921,-0.01608,48.93113,72.0083,-0.65354,0.09216,14.55205,-3.69523,16.09419,25.50286,78.57143,21.42857,57.14286,-5.56941,-23.16158,8.22303,-33.83808,-38.93675,46.98743,104.01174996396458,104.13779657254476,102.95602396311536,103.46025848388672,157212000,0.451847259,1788588311.0,1,0.008756968552534383
20120202,67.61886,71.86195,0.42797,66.13668,79.69504,-0.52971,0.26441,16.42229,0.52967,11.28141,27.15133,64.28571,7.14286,57.14286,10.58798,26.30291,13.71823,-36.79708,-33.79052,28.53006,104.57112548021436,104.79960827172752,104.16145292580067,104.53173065185548,113090400,0.432154839,1988290986.0,1,0.014018643499615902
20120209,75.16328,84.77064,2.32274,89.66691,94.72837,0.66253,29.88483,21.50108,1e-05,21.96252,34.1448,100.0,42.85714,57.14286,11.89011,-15.43402,-16.09326,-23.81181,-44.11974,46.85612,106.68256804701385,106.82437500634244,106.01289201476914,106.64317321777344,148602900,0.433544848,2606671502.0,0,-0.007387357816970641
